"selection1_batsmen_name","selection1_batsmen_Out_NotOut","selection1_batsmen_Runs","selection1_batsmen_Balls","selection1_batsmen_Fours","selection1_batsmen_Sixes","selection1_batsmen_Strike_Rate","selection1_batsmen_Team","selection1_batsmen_Match_No"
"Umran Malik","not out","19","8","1","2","237.50","Sunrisers Hyderabad","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League"
"T Natarajan","","Did not bat:","","","","","",""
"Rohit Sharma (c)","c †Karthik b Akash Deep","1","10","0","0","10.00","Mumbai Indians","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Ishan Kishan †","c Patel b Mohammed Siraj","10","13","2","0","76.92","Mumbai Indians","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Cameron Green","b Topley","5","4","1","0","125.00","Mumbai Indians","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Suryakumar Yadav","c Shahbaz Ahmed b Bracewell","15","16","1","0","93.75","Mumbai Indians","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Tilak Varma","not out","84","46","9","4","182.60","Mumbai Indians","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Nehal Wadhera","c Kohli b Sharma","21","13","1","2","161.53","Mumbai Indians","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Tim David","b Sharma","4","7","0","0","57.14","Mumbai Indians","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Hrithik Shokeen","c du Plessis b Patel","5","3","1","0","166.66","Mumbai Indians","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Arshad Khan","not out","15","9","0","1","166.66","Mumbai Indians","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Piyush Chawla,","","Did not bat:","","","","","",""
"Jofra Archer","","Did not bat:","","","","","",""
"Virat Kohli","not out","82","49","6","5","167.34","Royal Challengers Bangalore","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Faf du Plessis (c)","c David b Arshad Khan","73","43","5","6","169.76","Royal Challengers Bangalore","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Dinesh Karthik †","c Tilak Varma b Green","0","3","0","0","0.00","Royal Challengers Bangalore","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Glenn Maxwell","not out","12","3","0","2","400.00","Royal Challengers Bangalore","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League"
"Michael Bracewell,","","Did not bat:","","","","","",""
"Shahbaz Ahmed,","","Did not bat:","","","","","",""
"Harshal Patel,","","Did not bat:","","","","","",""
"Akash Deep,","","Did not bat:","","","","","",""
"Reece Topley,","","Did not bat:","","","","","",""
"Mohammed Siraj,","","Did not bat:","","","","","",""
"Karn Sharma","","Did not bat:","","","","","",""
"Ruturaj Gaikwad","c Wood b Ravi Bishnoi","57","31","3","4","183.87","Chennai Super Kings","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Devon Conway","c Pandya b Wood","47","29","5","2","162.06","Chennai Super Kings","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Shivam Dube","c Wood b Ravi Bishnoi","27","16","1","3","168.75","Chennai Super Kings","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Moeen Ali","st †Pooran b Ravi Bishnoi","19","13","3","0","146.15","Chennai Super Kings","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Ben Stokes","c Yash Thakur b Avesh Khan","8","8","1","0","100.00","Chennai Super Kings","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Ambati Rayudu","not out","27","14","2","2","192.85","Chennai Super Kings","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Ravindra Jadeja","c Ravi Bishnoi b Wood","3","6","0","0","50.00","Chennai Super Kings","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"MS Dhoni (c)†","c Ravi Bishnoi b Wood","12","3","0","2","400.00","Chennai Super Kings","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Mitchell Santner","not out","1","1","0","0","100.00","Chennai Super Kings","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Deepak Chahar,","","Did not bat:","","","","","",""
"Rajvardhan Hangargekar","","Did not bat:","","","","","",""
"KL Rahul (c)","c Gaikwad b Ali","20","18","2","0","111.11","Lucknow Super Giants","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Kyle Mayers","c Conway b Ali","53","22","8","2","240.90","Lucknow Super Giants","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Deepak Hooda","c Stokes b Santner","2","6","0","0","33.33","Lucknow Super Giants","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Krunal Pandya","c Jadeja b Ali","9","9","0","1","100.00","Lucknow Super Giants","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Marcus Stoinis","b Ali","21","18","0","1","116.66","Lucknow Super Giants","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Nicholas Pooran †","c Stokes b Deshpande","32","18","2","3","177.77","Lucknow Super Giants","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Ayush Badoni","c †Dhoni b Deshpande","23","18","0","0","127.77","Lucknow Super Giants","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Krishnappa Gowtham","not out","17","11","0","1","154.54","Lucknow Super Giants","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Mark Wood","not out","10","3","1","1","333.33","Lucknow Super Giants","6th Match (N), Chennai, April 03, 2023,
Indian Premier League"
"Yash Thakur,","","Did not bat:","","","","","",""
"Ravi Bishnoi","","Did not bat:","","","","","",""
"David Warner (c)","b Joseph","37","32","7","0","115.62","Delhi Capitals","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Prithvi Shaw","c Joseph b Mohammed Shami","7","5","1","0","140.00","Delhi Capitals","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Mitchell Marsh","b Mohammed Shami","4","4","1","0","100.00","Delhi Capitals","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Sarfaraz Khan","c Little b Rashid Khan","30","34","2","0","88.23","Delhi Capitals","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Rilee Rossouw","c Tewatia b Joseph","0","1","0","0","0.00","Delhi Capitals","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Abishek Porel †","b Rashid Khan","20","11","0","2","181.81","Delhi Capitals","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Axar Patel","c Miller b Mohammed Shami","36","22","2","3","163.63","Delhi Capitals","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Aman Hakim Khan","c Pandya b Rashid Khan","8","8","0","1","100.00","Delhi Capitals","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Kuldeep Yadav","not out","1","1","0","0","100.00","Delhi Capitals","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Anrich Nortje","not out","4","2","1","0","200.00","Delhi Capitals","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Mukesh Kumar","","Did not bat:","","","","","",""
"Wriddhiman Saha †","b Nortje","14","7","2","1","200.00","Gujarat Titans","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Shubman Gill","b Nortje","14","13","3","0","107.69","Gujarat Titans","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Sai Sudharsan","not out","62","48","4","2","129.16","Gujarat Titans","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Hardik Pandya (c)","c †Abishek Porel b Ahmed","5","4","1","0","125.00","Gujarat Titans","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Vijay Shankar","lbw b Marsh","29","23","3","0","126.08","Gujarat Titans","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"David Miller","not out","31","16","2","2","193.75","Gujarat Titans","7th Match (N), Delhi, April 04, 2023,
Indian Premier League"
"Rahul Tewatia,","","Did not bat:","","","","","",""
"Rashid Khan,","","Did not bat:","","","","","",""
"Alzarri Joseph,","","Did not bat:","","","","","",""
"Yash Dayal,","","Did not bat:","","","","","",""
"Mohammed Shami","","Did not bat:","","","","","",""
"Prabhsimran Singh","c Buttler b Holder","60","34","7","3","176.47","Punjab Kings","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Shikhar Dhawan (c)","not out","86","56","9","3","153.57","Punjab Kings","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Bhanuka Rajapaksa","retired hurt","1","1","0","0","100.00","Punjab Kings","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Jitesh Sharma †","c Parag b Chahal","27","16","2","1","168.75","Punjab Kings","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Sikandar Raza","b Ashwin","1","2","0","0","50.00","Punjab Kings","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"M Shahrukh Khan","c Buttler b Holder","11","10","1","0","110.00","Punjab Kings","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Sam Curran","not out","1","2","0","0","50.00","Punjab Kings","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Harpreet Brar,","","Did not bat:","","","","","",""
"Nathan Ellis,","","Did not bat:","","","","","",""
"Rahul Chahar,","","Did not bat:","","","","","",""
"Arshdeep Singh","","Did not bat:","","","","","",""
"Yashasvi Jaiswal","c sub (MW Short) b Arshdeep Singh","11","8","1","1","137.50","Rajasthan Royals","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Ravichandran Ashwin","c S Dhawan b Arshdeep Singh","0","4","0","0","0.00","Rajasthan Royals","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Jos Buttler","c & b Ellis","19","11","1","1","172.72","Rajasthan Royals","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Sanju Samson (c)†","c sub (MW Short) b Ellis","42","25","5","1","168.00","Rajasthan Royals","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Devdutt Padikkal","b Ellis","21","26","1","0","80.76","Rajasthan Royals","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Riyan Parag","c Shahrukh Khan b Ellis","20","12","1","2","166.66","Rajasthan Royals","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Shimron Hetmyer","run out (Shahrukh Khan/Curran)","36","18","1","3","200.00","Rajasthan Royals","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Dhruv Jurel","not out","32","15","3","2","213.33","Rajasthan Royals","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Jason Holder","not out","1","1","0","0","100.00","Rajasthan Royals","8th Match (N), Guwahati, April 05, 2023,
Indian Premier League"
"Trent Boult,","","Did not bat:","","","","","",""
"KM Asif","","Did not bat:","","","","","",""
"Rahmanullah Gurbaz †","c Akash Deep b Sharma","57","44","6","3","129.54","Kolkata Knight Riders","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Venkatesh Iyer","b Willey","3","7","0","0","42.85","Kolkata Knight Riders","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Mandeep Singh","b Willey","0","1","0","0","0.00","Kolkata Knight Riders","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Nitish Rana (c)","c †Karthik b Bracewell","1","5","0","0","20.00","Kolkata Knight Riders","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Rinku Singh","c †Karthik b Patel","46","33","2","3","139.39","Kolkata Knight Riders","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Andre Russell","c Kohli b Sharma","0","1","0","0","0.00","Kolkata Knight Riders","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Shardul Thakur","c Maxwell b Mohammed Siraj","68","29","9","3","234.48","Kolkata Knight Riders","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Sunil Narine","not out","0","1","0","0","0.00","Kolkata Knight Riders","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Umesh Yadav","not out","6","2","1","0","300.00","Kolkata Knight Riders","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Tim Southee,","","Did not bat:","","","","","",""
"Varun Chakravarthy","","Did not bat:","","","","","",""
"Virat Kohli","b Narine","21","18","3","0","116.66","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Faf du Plessis (c)","b Varun","23","12","2","2","191.66","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Michael Bracewell","c Rana b Thakur","19","18","1","1","105.55","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Glenn Maxwell","b Varun","5","7","1","0","71.42","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Harshal Patel","b Varun","0","2","0","0","0.00","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Shahbaz Ahmed","c Thakur b Narine","1","5","0","0","20.00","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Dinesh Karthik †","c Varun b Suyash Sharma","9","8","1","0","112.50","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Anuj Rawat","c Narine b Suyash Sharma","1","5","0","0","20.00","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"David Willey","not out","20","20","2","0","100.00","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Karn Sharma","c Rana b Suyash Sharma","1","3","0","0","33.33","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Akash Deep","c & b Varun","17","8","2","1","212.50","Royal Challengers Bangalore","9th Match (N), Eden Gardens, April 06, 2023,
Indian Premier League"
"Anmolpreet Singh †","lbw b Pandya","31","26","3","1","119.23","Sunrisers Hyderabad","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Mayank Agarwal","c Stoinis b Pandya","8","7","1","0","114.28","Sunrisers Hyderabad","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Rahul Tripathi","c Mishra b Yash Thakur","34","41","4","0","82.92","Sunrisers Hyderabad","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Aiden Markram (c)","b Pandya","0","1","0","0","0.00","Sunrisers Hyderabad","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Harry Brook","st †Pooran b Ravi Bishnoi","3","4","0","0","75.00","Sunrisers Hyderabad","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Washington Sundar","c Hooda b Mishra","16","28","0","0","57.14","Sunrisers Hyderabad","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Abdul Samad","not out","21","10","1","2","210.00","Sunrisers Hyderabad","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Adil Rashid","c Hooda b Mishra","4","3","1","0","133.33","Sunrisers Hyderabad","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Umran Malik","run out (Hooda/Unadkat)","0","0","0","0","-","Sunrisers Hyderabad","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Bhuvneshwar Kumar","not out","0","0","0","0","-","Sunrisers Hyderabad","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"T Natarajan","","Did not bat:","","","","","",""
"Kyle Mayers","c Agarwal b Fazalhaq Farooqi","13","14","2","0","92.85","Lucknow Super Giants","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"KL Rahul (c)","lbw b Rashid","35","31","4","0","112.90","Lucknow Super Giants","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Deepak Hooda","c & b Kumar","7","8","0","1","87.50","Lucknow Super Giants","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Krunal Pandya","c †Anmolpreet Singh b Umran Malik","34","23","4","1","147.82","Lucknow Super Giants","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Marcus Stoinis","not out","10","13","2","0","76.92","Lucknow Super Giants","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Romario Shepherd","lbw b Rashid","0","1","0","0","0.00","Lucknow Super Giants","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Nicholas Pooran †","not out","11","6","1","1","183.33","Lucknow Super Giants","10th Match (N), Lucknow, April 07, 2023,
Indian Premier League"
"Yash Thakur,","","Did not bat:","","","","","",""
"Jaydev Unadkat,","","Did not bat:","","","","","",""
"Ravi Bishnoi,","","Did not bat:","","","","","",""
"Ayush Badoni","","Did not bat:","","","","","",""
"Yashasvi Jaiswal","c & b Mukesh Kumar","60","31","11","1","193.54","Rajasthan Royals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Jos Buttler","c & b Mukesh Kumar","79","51","11","1","154.90","Rajasthan Royals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Sanju Samson (c)†","c Nortje b Kuldeep Yadav","0","4","0","0","0.00","Rajasthan Royals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Riyan Parag","b Powell","7","11","0","0","63.63","Rajasthan Royals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Shimron Hetmyer","not out","39","21","1","4","185.71","Rajasthan Royals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Dhruv Jurel","not out","8","3","0","1","266.66","Rajasthan Royals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Jason Holder,","","Did not bat:","","","","","",""
"Ravichandran Ashwin,","","Did not bat:","","","","","",""
"Yuzvendra Chahal,","","Did not bat:","","","","","",""
"Trent Boult,","","Did not bat:","","","","","",""
"Sandeep Sharma","","Did not bat:","","","","","",""
"Prithvi Shaw","c †Samson b Boult","0","3","0","0","0.00","Delhi Capitals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"David Warner (c)","lbw b Chahal","65","55","7","0","118.18","Delhi Capitals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Manish Pandey","lbw b Boult","0","1","0","0","0.00","Delhi Capitals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Rilee Rossouw","c Jaiswal b R Ashwin","14","12","2","0","116.66","Delhi Capitals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Lalit Yadav","b Boult","38","24","5","0","158.33","Delhi Capitals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Axar Patel","st †Samson b Chahal","2","6","0","0","33.33","Delhi Capitals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Rovman Powell","c Hetmyer b R Ashwin","2","2","0","0","100.00","Delhi Capitals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Abishek Porel †","c Hetmyer b Chahal","7","9","1","0","77.77","Delhi Capitals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Kuldeep Yadav","not out","3","7","0","0","42.85","Delhi Capitals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
"Anrich Nortje","b Sandeep Sharma","0","1","0","0","0.00","Delhi Capitals","11th Match (D/N), Guwahati, April 08, 2023,
Indian Premier League"
